Table review_Books_stats
Descriptive Statistics for Review on Books Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| spark-worker-3 | 107.43 | 68.52 | 97.95 | 2.02 | 0.47 | 2.06 |
| spark-worker-4 | 107.12 | 62.28 | 106.34 | 2.13 | 0.58 | 2.26 |
| spark-worker-5 | 92.76 | 61.32 | 85.49 | 1.97 | 0.59 | 2.12 |
| spark-master | 29.46 | 38.20 | 5.92 | 0.93 | 0.03 | 0.93 |
| spark-worker-1 | 70.69 | 65.46 | 43.85 | 1.82 | 0.68 | 1.92 |
| spark-worker-2 | 102.24 | 72.21 | 92.11 | 2.09 | 0.61 | 2.20 |
| spark-worker-3 | 104.54 | 67.64 | 107.38 | 2.10 | 0.55 | 2.19 |
| spark-worker-4 | 85.18 | 71.31 | 62.74 | 1.73 | 0.58 | 1.72 |
| spark-worker-5 | 99.76 | 70.88 | 104.28 | 2.05 | 0.55 | 2.24 |
| spark-master | 29.34 | 36.82 | 15.54 | 0.84 | 0.03 | 0.84 |
| spark-worker-1 | 93.54 | 66.52 | 87.25 | 2.16 | 0.57 | 2.39 |
| spark-worker-2 | 92.06 | 68.66 | 69.39 | 2.04 | 0.57 | 2.02 |
| spark-worker-3 | 101.11 | 73.53 | 81.50 | 1.88 | 0.58 | 2.00 |
| spark-worker-4 | 92.84 | 60.65 | 89.41 | 2.19 | 0.59 | 2.53 |
| spark-worker-5 | 98.83 | 62.33 | 105.14 | 2.07 | 0.52 | 2.25 |
| spark-master | 26.12 | 33.98 | 10.20 | 0.84 | 0.03 | 0.85 |
| spark-worker-1 | 87.32 | 65.18 | 85.18 | 1.99 | 0.55 | 2.13 |
| spark-worker-2 | 115.18 | 72.75 | 132.90 | 2.14 | 0.51 | 2.32 |
| spark-worker-3 | 112.93 | 66.99 | 111.77 | 2.38 | 0.81 | 2.08 |
| spark-worker-4 | 103.48 | 76.12 | 111.38 | 2.18 | 0.55 | 2.43 |
| spark-worker-5 | 117.44 | 67.78 | 128.78 | 2.01 | 0.45 | 2.18 |


Note. CPU = Central Processing Unit; Mem = Memory.
