Table review_Home_stats
Descriptive Statistics for Review on Home Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| spark-worker-4 | 90.49 | 72.60 | 86.72 | 9.34 | 0.20 | 9.40 |
| spark-worker-5 | 79.26 | 75.85 | 25.17 | 8.50 | 0.20 | 8.51 |
| spark-master | 9.96 | 12.11 | 3.30 | 1.09 | 0.02 | 1.09 |
| spark-worker-1 | 100.95 | 68.44 | 108.27 | 2.71 | 0.03 | 2.69 |
| spark-worker-2 | 97.35 | 68.82 | 97.03 | 3.00 | 0.03 | 3.00 |
| spark-worker-3 | 113.51 | 61.16 | 104.81 | 2.72 | 0.03 | 2.71 |
| spark-worker-4 | 95.13 | 65.29 | 83.37 | 2.68 | 0.03 | 2.67 |
| spark-worker-5 | 103.76 | 62.92 | 113.55 | 2.85 | 0.03 | 2.83 |
| spark-master | 8.81 | 12.61 | 2.85 | 1.10 | 0.02 | 1.09 |
| spark-worker-1 | 88.01 | 68.97 | 72.40 | 2.76 | 0.03 | 2.75 |
| spark-worker-2 | 100.49 | 63.92 | 99.59 | 2.62 | 0.04 | 2.60 |
| spark-worker-3 | 106.38 | 67.68 | 118.73 | 2.95 | 0.10 | 2.99 |
| spark-worker-4 | 83.48 | 69.81 | 68.50 | 2.58 | 0.03 | 2.56 |
| spark-worker-5 | 92.34 | 62.41 | 89.53 | 2.57 | 0.03 | 2.56 |
| spark-master | 12.15 | 15.44 | 4.01 | 1.19 | 0.02 | 1.19 |
| spark-worker-1 | 80.26 | 60.00 | 71.77 | 2.61 | 0.03 | 2.60 |
| spark-worker-2 | 91.28 | 65.05 | 78.31 | 2.56 | 0.04 | 2.54 |
| spark-worker-3 | 100.66 | 64.59 | 96.55 | 2.70 | 0.05 | 2.69 |
| spark-worker-4 | 97.93 | 62.84 | 85.33 | 3.38 | 0.23 | 3.47 |
| spark-worker-5 | 87.34 | 54.00 | 73.71 | 2.74 | 0.03 | 2.72 |
| spark-master | 8.62 | 11.06 | 3.40 | 1.03 | 0.02 | 1.03 |
| spark-worker-1 | 102.89 | 63.16 | 112.11 | 2.75 | 0.03 | 2.74 |
| spark-worker-2 | 94.68 | 64.15 | 81.59 | 2.72 | 0.04 | 2.70 |
| spark-worker-3 | 86.51 | 66.14 | 80.88 | 2.75 | 0.12 | 2.75 |
| spark-worker-4 | 91.71 | 62.67 | 78.37 | 2.64 | 0.03 | 2.63 |
| spark-worker-5 | 101.22 | 59.02 | 102.56 | 2.72 | 0.03 | 2.70 |
| spark-master | 8.39 | 11.03 | 3.74 | 1.09 | 0.01 | 1.09 |
| spark-worker-1 | 105.09 | 71.29 | 122.43 | 2.81 | 0.03 | 2.80 |
| spark-worker-2 | 105.42 | 59.23 | 121.69 | 2.63 | 0.09 | 2.64 |
| spark-worker-3 | 101.51 | 64.18 | 105.93 | 3.28 | 0.03 | 3.27 |
| spark-worker-4 | 105.94 | 65.32 | 117.66 | 2.96 | 0.03 | 2.95 |
| spark-worker-5 | 103.75 | 63.97 | 119.78 | 2.65 | 0.06 | 2.64 |


Note. CPU = Central Processing Unit; Mem = Memory.
