Table meta_Toys_stats
Descriptive Statistics for Meta on Toys Dataset (Run stats)


| Container | CPU Mean (%) | CPU Std (%) | CPU Median (%) | Mem Mean (GB) | Mem Std (GB) | Mem Median (GB) |
| spark-worker-5 | 52.79 | 77.71 | 14.07 | 4.04 | 2.50 | 5.28 |
| spark-master | 5.25 | 7.87 | 1.86 | 0.92 | 0.00 | 0.92 |
| spark-worker-1 | 90.09 | 64.04 | 88.38 | 6.23 | 0.00 | 6.23 |
| spark-worker-2 | 89.11 | 74.92 | 85.05 | 5.46 | 0.00 | 5.46 |
| spark-worker-3 | 74.84 | 69.85 | 56.77 | 5.18 | 0.00 | 5.18 |
| spark-worker-4 | 80.69 | 72.78 | 66.08 | 6.35 | 0.00 | 6.35 |
| spark-worker-5 | 98.73 | 67.49 | 102.83 | 4.44 | 0.00 | 4.44 |
| spark-master | 9.31 | 3.29 | 7.94 | 1.35 | 0.03 | 1.35 |
| spark-worker-1 | 17.80 | 16.73 | 9.94 | 1.56 | 0.00 | 1.56 |
| spark-worker-2 | 12.08 | 8.75 | 10.14 | 1.52 | 0.00 | 1.52 |
| spark-worker-3 | 14.89 | 15.01 | 10.44 | 1.77 | 0.00 | 1.77 |
| spark-worker-4 | 22.59 | 23.38 | 14.43 | 1.79 | 0.00 | 1.79 |
| spark-worker-5 | 15.64 | 14.96 | 7.27 | 1.71 | 0.00 | 1.72 |
| spark-master | 14.99 | 10.20 | 10.27 | 1.37 | 0.03 | 1.37 |
| spark-worker-1 | 9.67 | 5.28 | 7.45 | 1.61 | 0.00 | 1.61 |
| spark-worker-2 | 9.05 | 5.80 | 7.11 | 1.74 | 0.00 | 1.74 |
| spark-worker-3 | 12.55 | 10.25 | 7.89 | 1.92 | 0.00 | 1.92 |
| spark-worker-4 | 10.28 | 5.66 | 8.34 | 1.57 | 0.00 | 1.57 |
| spark-worker-5 | 14.27 | 6.41 | 14.59 | 1.76 | 0.01 | 1.76 |
| spark-master | 10.15 | 4.77 | 8.43 | 1.33 | 0.03 | 1.32 |
| spark-worker-1 | 6.83 | 1.90 | 6.51 | 2.17 | 0.01 | 2.17 |
| spark-worker-2 | 9.60 | 8.59 | 5.33 | 1.77 | 0.00 | 1.77 |
| spark-worker-3 | 12.57 | 6.92 | 11.79 | 1.84 | 0.00 | 1.84 |
| spark-worker-4 | 11.12 | 7.96 | 9.49 | 1.61 | 0.00 | 1.61 |
| spark-worker-5 | 17.02 | 10.70 | 13.76 | 1.67 | 0.01 | 1.67 |
| spark-master | 13.70 | 10.36 | 8.22 | 1.36 | 0.03 | 1.36 |
| spark-worker-1 | 11.91 | 9.21 | 8.43 | 1.70 | 0.00 | 1.70 |
| spark-worker-2 | 12.34 | 8.02 | 10.99 | 1.76 | 0.00 | 1.76 |
| spark-worker-3 | 10.85 | 6.25 | 9.36 | 1.96 | 0.01 | 1.97 |
| spark-worker-4 | 11.94 | 7.20 | 8.10 | 1.60 | 0.01 | 1.59 |
| spark-worker-5 | 11.05 | 5.84 | 10.36 | 1.59 | 0.00 | 1.59 |
| spark-master | 9.84 | 3.59 | 9.85 | 1.29 | 0.03 | 1.28 |
| spark-worker-1 | 13.65 | 10.85 | 11.27 | 1.66 | 0.00 | 1.66 |
| spark-worker-2 | 13.31 | 9.23 | 9.43 | 1.66 | 0.01 | 1.66 |
| spark-worker-3 | 13.53 | 11.66 | 9.75 | 1.58 | 0.01 | 1.58 |
| spark-worker-4 | 13.29 | 8.39 | 12.64 | 1.58 | 0.00 | 1.58 |
| spark-worker-5 | 15.60 | 9.84 | 16.06 | 1.73 | 0.00 | 1.73 |


Note. CPU = Central Processing Unit; Mem = Memory.
